City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,sitka,0,US,1562272300,43,37.17,-99.65,93.99,14.0
282,lima,90,PE,1562272300,77,-12.06,-77.04,64.4,8.05
283,martorell,100,ES,1562272300,74,41.48,1.93,81.0,4.7
284,souillac,0,FR,1562272301,51,45.6,-0.6,84.2,6.93
285,vila franca do campo,75,PT,1562272301,88,37.72,-25.43,64.4,3.36
286,fortuna,20,ES,1562272011,88,38.18,-1.13,79.0,8.05
287,parit buntar,75,MY,1562272301,88,5.13,100.49,82.4,1.12
288,arvika,0,SE,1562272302,57,59.65,12.59,52.0,10.29
289,luis correia,20,BR,1562272302,70,-2.88,-41.67,86.0,13.87
290,college,90,US,1562272205,59,64.86,-147.8,66.2,6.93
291,manica,0,MZ,1562272302,87,-18.94,32.88,57.2,3.96
292,beidao,0,CN,1562272303,93,34.57,105.89,56.1,4.03
293,novo aripuana,33,BR,1562272303,70,-5.12,-60.38,84.48,4.07
294,nioro,0,GM,1562272303,53,13.79,-15.05,85.02,14.52
295,nanfeng,100,CN,1562272304,99,27.22,116.52,73.5,2.66
296,gravdal,20,NO,1562272304,71,59.79,5.78,53.01,16.11
297,santa isabel do rio negro,100,BR,1562272304,95,-0.41,-65.02,78.54,2.15
298,henties bay,0,NA,1562272304,88,-22.12,14.28,55.99,5.01
299,alakurtti,93,RU,1562272305,92,66.96,30.34,51.01,1.01
300,rocha,4,UY,1562272305,76,-34.48,-54.34,40.17,13.73
301,aksu,0,KZ,1562272305,100,52.04,76.93,57.2,4.47
302,vao,64,EE,1562272306,92,59.1,26.19,46.59,6.02
303,maymyo,100,MM,1562272306,66,22.03,96.47,81.75,11.41
304,dalby,90,AU,1562272306,82,-27.18,151.26,57.2,14.99
305,kailua,40,US,1562272307,62,21.39,-157.74,86.0,5.82
306,ilulissat,40,GL,1562272307,65,69.22,-51.1,55.4,6.93
307,amahai,86,ID,1562272307,92,-3.31,129.0,79.0,1.01
308,kruisfontein,100,ZA,1562272307,76,-34.0,24.73,55.7,15.19
309,kaitangata,85,NZ,1562272308,78,-46.28,169.85,43.0,3.0
310,tezu,91,IN,1562272308,88,27.93,96.16,75.2,0.94
311,nelson bay,40,AU,1562272308,87,-32.72,152.14,61.0,4.7
312,cape coast,100,GH,1562272215,90,5.11,-1.24,76.2,11.07
313,dale,100,CN,1562272309,92,24.09,109.99,76.78,5.23
314,ternate,40,PH,1562272309,78,14.29,120.72,82.4,4.7
315,kulhudhuffushi,99,MV,1562272309,77,6.62,73.07,83.28,11.48
316,semey,52,KZ,1562272310,63,50.41,80.25,67.19,3.44
317,donskoye,75,RU,1562272310,82,45.45,41.98,71.01,11.18
318,eyl,50,SO,1562272310,66,7.98,49.82,78.04,24.92
319,fez,40,MA,1562272310,47,34.03,-5.02,77.0,12.75
320,margate,90,AU,1562272311,93,-43.03,147.26,39.99,5.82
321,pisco,75,PE,1562272311,30,-13.71,-76.2,71.6,9.17
322,phan thiet,26,VN,1562272311,94,10.93,108.1,71.9,4.29
323,vila velha,0,BR,1562272311,69,-3.71,-38.6,86.0,13.87
324,san cristobal,0,HN,1562272312,28,14.68,-86.92,85.24,12.53
325,buala,14,SB,1562272312,81,-8.15,159.59,79.97,8.34
326,esperance,90,AU,1562272312,100,-33.86,121.89,51.8,8.05
327,tahoua,92,NE,1562272313,43,14.89,5.26,92.1,15.61
328,bagaha,100,IN,1562272306,71,27.1,84.09,86.82,8.66
329,amarpur,100,IN,1562272313,95,23.52,91.65,77.82,5.68
330,quatre cocos,40,MU,1562272313,78,-20.21,57.76,71.6,6.93
331,acapulco,75,MX,1562272314,74,16.86,-99.88,87.8,6.93
332,nanortalik,0,GL,1562272314,65,60.14,-45.24,46.81,7.67
333,conakry,75,GN,1562272314,83,9.52,-13.7,82.4,9.17
334,cajabamba,20,EC,1562272314,43,-1.7,-78.77,69.8,23.04
335,luwuk,100,ID,1562272315,98,-0.95,122.79,63.3,3.6
336,yaritagua,40,VE,1562272315,45,10.08,-69.12,86.0,6.93
337,mandali,0,IQ,1562272315,14,33.75,45.55,85.22,7.31
338,keuruu,0,FI,1562272316,58,62.26,24.71,55.4,4.7
339,muroto,96,JP,1562272316,86,33.37,134.14,69.65,4.99
340,podosinovets,100,RU,1562272316,98,60.28,47.06,50.7,6.29
341,socorro,20,US,1562272317,14,31.65,-106.3,100.0,16.11
342,avera,1,US,1562272317,52,33.19,-82.53,96.01,5.82
343,kulunda,95,RU,1562272317,74,52.57,78.94,62.25,7.16
344,kavaratti,100,IN,1562272317,79,10.57,72.64,83.3,19.1
345,mulanje,0,MW,1562272318,89,-16.03,35.5,54.1,4.97
346,kununurra,0,AU,1562272318,36,-15.77,128.74,60.8,8.05
347,kalianget,15,ID,1562272318,97,-7.35,109.91,71.04,0.49
348,mahajanga,0,MG,1562272318,88,-15.72,46.32,71.6,2.24
349,roald,20,NO,1562272319,76,62.58,6.12,51.8,3.36
350,lasa,0,CY,1562272319,78,34.92,32.53,78.8,5.82
351,kichmengskiy gorodok,97,RU,1562272319,99,59.99,45.81,51.18,3.2
352,kurilsk,100,RU,1562272320,96,45.23,147.88,50.36,12.3
353,west point,40,US,1562272150,2,33.61,-88.65,91.4,4.38
354,gabu,0,CN,1562272320,80,34.78,103.0,40.13,1.7
355,bilma,7,NE,1562272320,28,18.69,12.92,92.44,5.1
356,cruzeiro do sul,75,BR,1562272321,52,-7.63,-72.67,91.4,5.82
357,manado,40,ID,1562272321,100,1.49,124.85,73.4,5.99
358,goure,82,NE,1562272321,35,13.98,10.27,92.51,8.7
359,kyren,0,RU,1562272321,76,51.68,102.13,39.63,3.13
360,ust-kuyga,67,RU,1562272322,67,70.0,135.55,48.81,3.44
361,port blair,100,IN,1562272075,81,11.67,92.75,83.85,21.21
362,nieuw amsterdam,40,SR,1562272322,66,5.88,-55.08,86.0,13.87
363,tabou,100,CI,1562272322,88,4.42,-7.36,74.64,5.59
364,tilichiki,86,RU,1562272323,69,60.47,166.1,59.07,2.37
365,yinchuan,0,CN,1562272323,21,38.48,106.21,73.0,1.01
366,nzega,86,TZ,1562272323,37,-4.22,33.19,73.5,4.47
367,valle de allende,67,MX,1562272323,29,26.94,-105.39,83.22,9.51
368,kayerkan,0,RU,1562272324,81,69.35,87.76,51.8,20.13
369,thunder bay,75,CA,1562272324,73,48.41,-89.26,80.01,8.05
370,lavrentiya,99,RU,1562272324,68,65.58,-170.99,56.76,11.48
371,north platte,75,US,1562272217,61,41.12,-100.77,80.6,9.17
372,taperoa,2,BR,1562272326,49,-7.21,-36.83,80.9,14.63
373,saurimo,0,AO,1562272326,39,-9.66,20.4,63.93,3.06
374,ixtapa,40,MX,1562272326,38,20.71,-105.21,89.6,13.87
375,beloha,0,MG,1562272327,96,-25.17,45.06,63.03,6.96
376,emirdag,0,TR,1562272327,52,39.02,31.15,67.47,6.6
377,dharmabad,100,IN,1562272327,82,18.89,77.84,78.31,7.74
378,havre-saint-pierre,20,CA,1562272327,68,50.23,-63.6,66.2,16.11
379,ilorin,100,NG,1562272328,89,8.5,4.55,73.88,9.6
380,healdsburg,1,US,1562272328,39,38.61,-122.87,91.99,5.82
381,tucumcari,1,US,1562272328,20,35.17,-103.73,98.6,11.41
382,byron bay,90,AU,1562272328,87,-28.65,153.62,64.99,14.99
